candidate,poisson,steps,exit_code,reference_candidate,poisson_tolerance,reference_accuracy_pass,speedup_vs_reference,total_ms_per_step,poisson_iters,mlups,source_aware_hh_init,source_aware_hh_scale,scalar_source_scale,pressure_relax_scale,poisson_fixed_point_relax,poisson_anderson_m1,poisson_anderson_beta_max,poisson_two_grid_correction,poisson_two_grid_strength,fei_max_abs,fei_rel_l2,rho_max_abs,rho_rel_l2,u_max_abs,u_rel_l2,v_max_abs,v_rel_l2,w_max_abs,w_rel_l2,press_max_abs,press_rel_l2,saved_plt,command
fixed_point_relax1p1,onepass,5,0,onepass_reference,0.001,0,1.3406817003628824,77.16,820.0,0.212,0,,,1.0,1.1,0,,0,,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-fixed-point-relax 1.1
fixed_point_relax1p2,onepass,5,0,onepass_reference,0.001,0,1.696686895194358,60.97,640.0,0.269,0,,,1.0,1.2,0,,0,,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-fixed-point-relax 1.2
anderson_m1_beta0,onepass,5,0,onepass_reference,0.001,0,0.5601691657054979,184.671,960.0,0.089,0,,,1.0,1.0,1,0.0,0,,3.129243850708008e-07,1.1505573905481841e-06,5.340576171875e-05,5.097579394707764e-07,1.516193151473999e-05,6.15998020032599e-05,1.5042722225189209e-05,6.787632129422179e-05,2.1435320377349854e-05,7.314122488126935e-05,0.0005786418914794922,0.002491965288382227,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-anderson-m1 --poisson-anderson-beta-max 0.0
anderson_m1_beta0p5,onepass,5,0,onepass_reference,0.001,0,0.5701412580398035,181.441,940.0,0.09,0,,,1.0,1.0,1,0.5,0,,9.208917617797852e-06,2.979424047353739e-05,0.0012476444244384766,1.0903113162808268e-05,0.00030168890953063965,0.0013511865202895535,0.00030057504773139954,0.0014988683356739058,0.00043698400259017944,0.0015830164288544403,0.010489583015441895,0.04612592129996308,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-anderson-m1 --poisson-anderson-beta-max 0.5
anderson_m1_beta1,onepass,5,0,onepass_reference,0.001,0,0.5695511179382148,181.629,940.0,0.09,0,,,1.0,1.0,1,1.0,0,,1.3940036296844482e-05,4.481242365294394e-05,0.0018525123596191406,1.6188597980140666e-05,0.0004494860768318176,0.0020203749356832402,0.00044779106974601746,0.002241441179483461,0.0006524622440338135,0.002370789388784113,0.01618194580078125,0.07197058878436316,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-anderson-m1 --poisson-anderson-beta-max 1.0
two_grid_strength0p0001,onepass,5,0,onepass_reference,0.001,1,1.1572158893873121,89.393,960.0,0.183,0,,,1.0,1.0,0,,1,0.0001,2.2351741790771484e-08,5.4325106863032294e-08,3.814697265625e-06,2.9027839544699755e-08,5.736947059631348e-07,2.432782321991811e-06,5.885958671569824e-07,2.571326003797081e-06,8.270144462585449e-07,2.725918293943315e-06,2.0503997802734375e-05,9.426820241378745e-05,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.0001
two_grid_strength0p0005,onepass,5,0,onepass_reference,0.001,0,1.1581357336378495,89.322,960.0,0.183,0,,,1.0,1.0,0,,1,0.0005,8.940696716308594e-08,2.545891818202703e-07,1.2159347534179688e-05,1.08208276310873e-07,2.86102294921875e-06,1.2137998967778123e-05,2.9355287551879883e-06,1.2848157149087872e-05,4.14624810218811e-06,1.3613840828547667e-05,0.0001024007797241211,0.0004713440401027665,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.0005
two_grid_strength0p001,onepass,5,0,onepass_reference,0.001,0,1.155225747372888,89.547,960.0,0.183,0,,,1.0,1.0,0,,1,0.001,1.7881393432617188e-07,5.064064829542958e-07,2.4557113647460938e-05,2.1347794493983839e-07,5.707144737243652e-06,2.4236899376525317e-05,5.859881639480591e-06,2.5665121908075993e-05,8.281320333480835e-06,2.719138687798426e-05,0.0002048015594482422,0.0009426889408260381,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.001
two_grid_strength0p005,onepass,5,0,onepass_reference,0.001,0,1.182616350188058,87.473,940.0,0.187,0,,,1.0,1.0,0,,1,0.005,9.909272193908691e-07,2.92282400903125e-06,0.00016832351684570312,1.3845027332868986e-06,3.0376017093658447e-05,0.00013364741853650502,3.1284987926483154e-05,0.00014257550209550372,4.246830940246582e-05,0.00014124229278040428,0.001034855842590332,0.004716169674483521,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.005
two_grid_strength0p01,onepass,5,0,onepass_reference,0.001,0,1.178896625602571,87.749,940.0,0.187,0,,,1.0,1.0,0,,1,0.01,1.862645149230957e-06,5.344497739121727e-06,0.00028324127197265625,2.3691234086435097e-06,5.806237459182739e-05,0.00025042347916173205,5.971267819404602e-05,0.0002663032790722676,8.273869752883911e-05,0.000272171290295948,0.0020537376403808594,0.00942955584916688,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.01
two_grid_strength0p05,onepass,5,0,onepass_reference,0.001,0,1.1788160218790953,87.755,940.0,0.187,0,,,1.0,1.0,0,,1,0.05,8.054077625274658e-06,2.292497022715704e-05,0.001116037368774414,9.573776179250097e-06,0.00025615841150283813,0.0010873465608398794,0.00026287510991096497,0.001154750646364511,0.00037059932947158813,0.0012155964546260853,0.01007068157196045,0.04713566236897634,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.05
two_grid_strength0p1,onepass,5,0,onepass_reference,0.001,0,1.1769383924000227,87.895,940.0,0.186,0,,,1.0,1.0,0,,1,0.1,1.4200806617736816e-05,4.060385698602355e-05,0.001941680908203125,1.6779196184245176e-05,0.00045474618673324585,0.0019275785399985362,0.00046595558524131775,0.002049974588532763,0.0006585046648979187,0.0021667064095589133,0.019806385040283203,0.09426649889454343,,/home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/lbm_gpu --mode gpu --params /home/jzh/lbm/LBM/Old/LBM2/LBM/codex分支/LBM/GPU/params_small.in --steps 5 --output-frequency 5 --write-output --no-roofline --poisson-check-interval 100 --poisson-tolerance 0.001 --poisson onepass --pressure-boundary fused --poisson-two-grid-correction --poisson-two-grid-strength 0.1
