trajectory,step,input_snapshot,pre_state,target_state,hard_reasons,full_poisson_iterations,full_poisson_converged,full_poisson_relative_error,gate_pass
h15_p50_closed_loop_hard_replay,20,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000020.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000020.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000020.bin,pressure_peak;false_accept,600,1,0.000982712,1
h15_p50_closed_loop_hard_replay,21,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000021.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000021.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000021.bin,pressure_peak;false_accept,900,1,0.000962954,1
h15_p50_closed_loop_hard_replay,22,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000022.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000022.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000022.bin,pressure_peak;false_accept,700,1,0.000925892,1
h15_p50_closed_loop_hard_replay,23,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000023.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000023.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000023.bin,pressure_peak;false_accept,900,1,0.000967747,1
h15_p50_closed_loop_hard_replay,24,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000024.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000024.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000024.bin,pressure_peak;false_accept,700,1,0.000979236,1
h15_p50_closed_loop_hard_replay,25,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000025.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000025.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000025.bin,pressure_peak;false_accept,1100,1,0.000994,1
h15_p50_closed_loop_hard_replay,26,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000026.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000026.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000026.bin,fallback;pressure_peak;negative_direct,1400,1,0.000988833,1
h15_p50_closed_loop_hard_replay,27,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000027.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000027.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000027.bin,pressure_peak;false_accept,800,1,0.000985585,1
h15_p50_closed_loop_hard_replay,28,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000028.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000028.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000028.bin,pressure_peak;false_accept,2500,1,0.000997414,1
h15_p50_closed_loop_hard_replay,29,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000029.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000029.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000029.bin,fallback;pressure_peak;negative_direct,5000,0,0.00117826,0
h15_p50_closed_loop_hard_replay,30,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000030.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000030.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000030.bin,fallback;pressure_peak;negative_direct,5000,0,0.00118482,0
h15_p50_closed_loop_hard_replay,32,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000032.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000032.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000032.bin,fallback;negative_direct,5000,0,0.00136814,0
h15_p50_closed_loop_hard_replay,33,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000033.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000033.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000033.bin,fallback;negative_direct,5000,0,0.00150518,0
h15_p50_closed_loop_hard_replay,34,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000034.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000034.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000034.bin,fallback;negative_direct,5000,0,0.00140858,0
h15_p50_closed_loop_hard_replay,35,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000035.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000035.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000035.bin,fallback;negative_direct,5000,0,0.00153724,0
h15_p50_closed_loop_hard_replay,36,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000036.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000036.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000036.bin,pressure_peak;false_accept,5000,0,0.00141295,0
h15_p50_closed_loop_hard_replay,37,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000037.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000037.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000037.bin,fallback;pressure_peak;negative_direct,5000,0,0.00156307,0
h15_p50_closed_loop_hard_replay,38,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000038.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000038.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000038.bin,fallback;pressure_peak;negative_direct,5000,0,0.00144068,0
h15_p50_closed_loop_hard_replay,39,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000039.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000039.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000039.bin,fallback;pressure_peak;negative_direct,5000,0,0.00152996,0
h15_p50_closed_loop_hard_replay,40,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000040.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000040.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000040.bin,pressure_peak;false_accept,5000,0,0.00140048,0
h15_p50_closed_loop_hard_replay,41,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000041.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000041.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000041.bin,fallback;pressure_peak;negative_direct,5000,0,0.00151982,0
h15_p50_closed_loop_hard_replay,42,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000042.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000042.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000042.bin,fallback;pressure_peak;negative_direct,5000,0,0.00142202,0
h15_p50_closed_loop_hard_replay,43,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000043.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000043.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000043.bin,pressure_peak;false_accept,5000,0,0.00147193,0
h15_p50_closed_loop_hard_replay,44,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000044.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000044.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000044.bin,fallback;pressure_peak;negative_direct,5000,0,0.00138591,0
h15_p50_closed_loop_hard_replay,45,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000045.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000045.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000045.bin,pressure_peak;false_accept,5000,0,0.00142336,0
h15_p50_closed_loop_hard_replay,46,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000046.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000046.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000046.bin,fallback;pressure_peak;negative_direct,5000,0,0.00132226,0
h15_p50_closed_loop_hard_replay,47,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000047.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000047.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000047.bin,pressure_peak;false_accept,5000,0,0.0013559,0
h15_p50_closed_loop_hard_replay,48,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000048.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000048.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000048.bin,fallback;pressure_peak;negative_direct,5000,0,0.00123513,0
h15_p50_closed_loop_hard_replay,49,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000049.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000049.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000049.bin,pressure_peak;false_accept,5000,0,0.00128613,0
h15_p50_closed_loop_hard_replay,50,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000050.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000050.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000050.bin,pressure_peak;false_accept,5000,0,0.00116943,0
h15_p50_closed_loop_hard_replay,51,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000051.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000051.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000051.bin,fallback;pressure_peak;negative_direct,5000,0,0.00125078,0
h15_p50_closed_loop_hard_replay,52,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000052.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000052.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000052.bin,pressure_peak;false_accept,5000,0,0.00117927,0
h15_p50_closed_loop_hard_replay,53,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000053.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000053.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000053.bin,pressure_peak;false_accept,5000,0,0.00126922,0
h15_p50_closed_loop_hard_replay,54,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000054.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000054.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000054.bin,fallback;pressure_peak;negative_direct,5000,0,0.00125183,0
h15_p50_closed_loop_hard_replay,55,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000055.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000055.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000055.bin,pressure_peak;false_accept,5000,0,0.00128616,0
h15_p50_closed_loop_hard_replay,56,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000056.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000056.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000056.bin,pressure_peak;false_accept,5000,0,0.00124778,0
h15_p50_closed_loop_hard_replay,57,/home/jzh/PINN/LBM/PINN_Poisson/data/multistep_closed_loop/h15_p50_hard_pre_capture_v2/safe_closed_loop/pairs/pre_poisson/3D000000057.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_pre_capture_v2/states/pre_poisson/3D000000057.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h15_p50_hard_replay_v2/targets/3D000000057.bin,fallback;pressure_peak;negative_direct,5000,0,0.00131594,0
