step,split,input_snapshot,post_snapshot,target_state,lx,ly,lz,state_p_sum_max_abs,state_p_sum_rel_l2,post_pressure_max_abs,post_pressure_rel_l2,finite,gate_pass
11,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000011.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000011.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000011.bin,48,96,128,2.220446049250313e-16,1.0958750173227813e-16,2.4421620836712066e-08,2.4403886387719364e-08,1,1
12,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000012.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000012.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000012.bin,48,96,128,1.1102230246251565e-16,1.1291638432337446e-16,2.797413500843504e-08,2.591686908080617e-08,1,1
13,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000013.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000013.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000013.bin,48,96,128,1.1102230246251565e-16,1.1296898206843385e-16,2.2043242897673565e-08,2.6794110009969012e-08,1,1
14,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000014.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000014.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000014.bin,48,96,128,1.1102230246251565e-16,1.1350805828717967e-16,2.8739638557873093e-08,2.6763734013126524e-08,1,1
15,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000015.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000015.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000015.bin,48,96,128,1.1102230246251565e-16,1.1162307356404004e-16,2.3530398518545326e-08,2.6726490934066858e-08,1,1
16,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000016.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000016.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000016.bin,48,96,128,1.1102230246251565e-16,1.1166687122316948e-16,2.9565715986556995e-08,2.7638831031637997e-08,1,1
17,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000017.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000017.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000017.bin,48,96,128,1.1102230246251565e-16,1.1296608217635853e-16,1.2999877341268729e-08,2.6374777717217913e-08,1,1
18,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000018.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000018.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000018.bin,48,96,128,5.551115123125783e-17,1.1262945831664275e-16,1.4778332724230125e-08,2.586312301153194e-08,1,1
19,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000019.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000019.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000019.bin,48,96,128,5.551115123125783e-17,1.140930720709766e-16,1.2333584265000752e-08,2.5639720567586256e-08,1,1
20,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000020.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000020.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000020.bin,48,96,128,1.1102230246251565e-16,1.1396209079046123e-16,1.3140977583869784e-08,2.5721186252672882e-08,1,1
21,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000021.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000021.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000021.bin,48,96,128,5.551115123125783e-17,1.1352782601611935e-16,1.2262635296078628e-08,2.623251584211455e-08,1,1
22,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000022.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000022.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000022.bin,48,96,128,5.551115123125783e-17,1.1079064201956403e-16,7.444589167349136e-09,2.6854147952700225e-08,1,1
23,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000023.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000023.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000023.bin,48,96,128,5.551115123125783e-17,1.1215677274543176e-16,7.387831985061766e-09,2.7864796146528537e-08,1,1
24,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000024.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000024.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000024.bin,48,96,128,5.551115123125783e-17,1.1175153981374292e-16,7.4039882003162916e-09,2.869702995443423e-08,1,1
25,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000025.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000025.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000025.bin,48,96,128,5.551115123125783e-17,1.1095796085026046e-16,7.399194562607292e-09,2.9093497562642483e-08,1,1
26,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000026.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000026.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000026.bin,48,96,128,5.551115123125783e-17,1.1057766457208645e-16,7.3737742301016596e-09,2.912609051920485e-08,1,1
27,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000027.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000027.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000027.bin,48,96,128,5.551115123125783e-17,1.0860917974136117e-16,7.3056966864992745e-09,2.9307184202782257e-08,1,1
28,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000028.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000028.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000028.bin,48,96,128,5.551115123125783e-17,1.0941620898950566e-16,7.049239247880479e-09,2.925829452630302e-08,1,1
29,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000029.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000029.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000029.bin,48,96,128,5.551115123125783e-17,1.1212686568246382e-16,7.301821314253942e-09,2.907691540930659e-08,1,1
30,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000030.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000030.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000030.bin,48,96,128,5.551115123125783e-17,1.184203516891856e-16,7.372755184142932e-09,2.8690609913440234e-08,1,1
31,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000031.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000031.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000031.bin,48,96,128,5.551115123125783e-17,1.1806997324436685e-16,7.250775313494273e-09,2.8727940400161878e-08,1,1
32,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000032.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000032.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000032.bin,48,96,128,5.551115123125783e-17,1.1886874067128338e-16,7.287725561910818e-09,2.8599640061494654e-08,1,1
33,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000033.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000033.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000033.bin,48,96,128,2.7755575615628914e-17,1.1594197482702768e-16,7.42366951245188e-09,2.853051399999142e-08,1,1
34,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000034.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000034.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000034.bin,48,96,128,2.7755575615628914e-17,1.158857846346428e-16,7.296007825674522e-09,2.798097143701705e-08,1,1
35,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000035.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000035.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000035.bin,48,96,128,5.551115123125783e-17,1.1481318121192864e-16,7.07468003624534e-09,2.78574195524164e-08,1,1
36,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000036.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000036.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000036.bin,48,96,128,5.551115123125783e-17,1.1390992010624275e-16,7.2525180860871785e-09,2.7570172167283045e-08,1,1
37,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000037.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000037.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000037.bin,48,96,128,5.551115123125783e-17,1.1265701057456764e-16,7.285134023815587e-09,2.7019648535129512e-08,1,1
38,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000038.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000038.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000038.bin,48,96,128,5.551115123125783e-17,1.1522365940656053e-16,7.171775007197567e-09,2.655003964355024e-08,1,1
39,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000039.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000039.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000039.bin,48,96,128,5.551115123125783e-17,1.147170775770047e-16,7.0285091913202535e-09,2.5859305029957128e-08,1,1
40,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000040.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000040.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000040.bin,48,96,128,5.551115123125783e-17,1.1383360421015424e-16,7.080982217244625e-09,2.568170091668274e-08,1,1
41,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000041.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000041.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000041.bin,48,96,128,2.7755575615628914e-17,1.1247843123469875e-16,7.3646552189998715e-09,2.5197569118107372e-08,1,1
42,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000042.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000042.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000042.bin,48,96,128,5.551115123125783e-17,1.1130182715557926e-16,7.324560291621651e-09,2.4971735030573262e-08,1,1
43,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000043.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000043.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000043.bin,48,96,128,5.551115123125783e-17,1.1069673742644157e-16,7.2992498156843055e-09,2.4536371968623003e-08,1,1
44,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000044.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000044.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000044.bin,48,96,128,2.7755575615628914e-17,1.0912853134359698e-16,7.382043004655614e-09,2.4473631803144934e-08,1,1
45,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000045.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000045.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000045.bin,48,96,128,2.7755575615628914e-17,1.0911025822322868e-16,6.672405100660583e-09,2.3975366904134574e-08,1,1
46,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000046.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000046.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000046.bin,48,96,128,2.7755575615628914e-17,1.0904174392674822e-16,6.887540981992402e-09,2.3566148437364716e-08,1,1
47,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000047.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000047.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000047.bin,48,96,128,2.7755575615628914e-17,1.0774808775364338e-16,6.184991019342334e-09,2.3479499521844027e-08,1,1
48,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000048.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000048.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000048.bin,48,96,128,2.7755575615628914e-17,1.0797349936575046e-16,6.974597760445178e-09,2.3340345194451507e-08,1,1
49,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000049.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000049.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000049.bin,48,96,128,2.7755575615628914e-17,1.1029699332851125e-16,3.7184900714137825e-09,2.313467895107361e-08,1,1
50,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000050.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000050.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000050.bin,48,96,128,2.7755575615628914e-17,1.0900741006034364e-16,3.7176662442961472e-09,2.280729845254238e-08,1,1
51,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000051.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000051.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000051.bin,48,96,128,2.7755575615628914e-17,1.0894216593794259e-16,3.7172557254550043e-09,2.2368306159398343e-08,1,1
52,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000052.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000052.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000052.bin,48,96,128,2.7755575615628914e-17,1.086852657838635e-16,3.7087916626710182e-09,2.221741134554592e-08,1,1
53,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000053.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000053.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000053.bin,48,96,128,2.7755575615628914e-17,1.0709372908191498e-16,3.723121741461277e-09,2.2172021941806903e-08,1,1
54,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000054.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000054.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000054.bin,48,96,128,2.7755575615628914e-17,1.0688770184024049e-16,3.7190461127378782e-09,2.1878502156298755e-08,1,1
55,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000055.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000055.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000055.bin,48,96,128,2.7755575615628914e-17,1.0577059351758735e-16,3.7233996025287652e-09,2.170281021508305e-08,1,1
56,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000056.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000056.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000056.bin,48,96,128,2.7755575615628914e-17,1.0490978559058044e-16,3.7224803378643756e-09,2.1417782123633277e-08,1,1
57,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000057.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000057.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000057.bin,48,96,128,2.7755575615628914e-17,1.0374832186327463e-16,3.7100860716954287e-09,2.1269096896332658e-08,1,1
58,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000058.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000058.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000058.bin,48,96,128,2.7755575615628914e-17,1.0313270741034999e-16,3.686088101417795e-09,2.1152504883975348e-08,1,1
59,train,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/pre_poisson/3D000000059.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/pairs/post_poisson/3D000000059.bin,/home/jzh/PINN/LBM/PINN_Poisson/data/h_exact_base_v2_120/states/post_poisson/3D000000059.bin,48,96,128,2.7755575615628914e-17,1.0260012407658797e-16,3.7245295181342897e-09,2.0883467915729254e-08,1,1
